timestamp,market_id,market_name,bet_id,bet_name,last_trade_price,buy_yes_price,buy_no_price,sell_yes_price,sell_no_price,volume
2024-10-30T18:35:37.462961+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:36:38.115040+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:36:38.115040+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:37:38.626967+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:37:38.626967+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:38:38.827787+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:38:38.827787+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:39:39.041779+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:39:39.041779+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:40:39.289655+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:40:39.289655+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:41:39.487709+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:41:39.487709+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:42:39.681855+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:42:39.681855+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.53,0.47,0.52,N/A
2024-10-30T18:43:39.881431+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:43:39.881431+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:44:40.057175+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:44:40.057175+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:45:40.251186+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.59,0.42,0.58,0.41,N/A
2024-10-30T18:45:40.251186+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.47,0.54,0.46,0.53,N/A
2024-10-30T18:46:40.698418+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:46:40.698418+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:47:41.271145+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:47:41.271145+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.47,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:48:41.509844+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.58,0.58,0.43,0.57,0.42,N/A
2024-10-30T18:48:41.509844+00:00,7456,Who will win the 2024 US presidential election?,27487,Kamala Harris,0.46,0.48,0.54,0.46,0.52,N/A
2024-10-30T18:49:41.707579+00:00,7456,Who will win the 2024 US presidential election?,27485,Donald Trump,0.57,0.58,0.43,0.57,0.42,N/A
